IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.94.15,80,80,false,HKG,Asia Pacific,Hong Kong,99,1.49
8.210.192.93,2052,2052,false,HKG,Asia Pacific,Hong Kong,73,1.47
8.218.211.17,80,80,false,HKG,Asia Pacific,Hong Kong,133,1.44
8.217.248.220,2082,2082,false,HKG,Asia Pacific,Hong Kong,99,1.40
8.210.245.224,8880,8880,false,HKG,Asia Pacific,Hong Kong,98,1.36
8.217.85.14,8080,8080,false,HKG,Asia Pacific,Hong Kong,98,1.29
47.242.252.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,94,1.20
8.210.245.224,2096,2096,true,HKG,Asia Pacific,Hong Kong,94,1.11
8.210.65.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,99,1.04
47.76.77.103,8880,8880,false,HKG,Asia Pacific,Hong Kong,206,0.94
8.218.53.110,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,0.93
8.217.121.207,2052,2052,false,HKG,Asia Pacific,Hong Kong,73,0.78
47.243.91.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,82,0.66
47.243.74.220,2095,2095,false,HKG,Asia Pacific,Hong Kong,72,0.65
47.76.77.103,8080,8080,false,HKG,Asia Pacific,Hong Kong,134,0.56
18.167.194.154,443,443,true,HKG,Asia Pacific,Hong Kong,81,0.50
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,97,0.32
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,176,0.20
202.81.232.199,44036,443,true,HKG,Asia Pacific,Hong Kong,176,0.20
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,204,0.17
156.251.144.162,41683,443,true,HKG,Asia Pacific,Hong Kong,134,0.15
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,99,0.09
16.162.56.233,443,443,true,HKG,Asia Pacific,Hong Kong,132,0.09
154.88.31.91,30000,443,true,HKG,Asia Pacific,Hong Kong,68,0.08
154.204.60.218,29876,443,true,HKG,Asia Pacific,Hong Kong,179,0.08
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,99,0.06
8.210.175.109,2082,2082,false,HKG,Asia Pacific,Hong Kong,99,0.04
154.23.185.52,34237,2096,true,HKG,Asia Pacific,Hong Kong,174,0.02
8.210.65.1,8880,8880,false,HKG,Asia Pacific,Hong Kong,98,0.01
18.163.249.175,443,443,true,HKG,Asia Pacific,Hong Kong,184,0.00
8.217.121.207,2053,2053,true,HKG,Asia Pacific,Hong Kong,135,0.00
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,133,0.00
47.242.79.71,8880,8880,false,HKG,Asia Pacific,Hong Kong,98,0.00
47.76.77.103,2086,2086,false,HKG,Asia Pacific,Hong Kong,99,0.00
8.217.193.25,8880,8880,false,HKG,Asia Pacific,Hong Kong,134,0.00
8.210.3.24,8880,8880,false,HKG,Asia Pacific,Hong Kong,100,0.00
47.242.155.183,2095,2095,false,HKG,Asia Pacific,Hong Kong,98,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,133,0.00
8.218.18.132,80,80,false,HKG,Asia Pacific,Hong Kong,174,0.00
43.128.26.74,443,443,true,HKG,Asia Pacific,Hong Kong,93,0.00
8.210.146.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,97,0.00
8.210.100.23,8880,8880,false,HKG,Asia Pacific,Hong Kong,81,0.00
43.159.196.17,443,443,true,HKG,Asia Pacific,Hong Kong,98,0.00
47.242.155.183,2082,2082,false,HKG,Asia Pacific,Hong Kong,93,0.00
47.243.91.58,2086,2086,false,HKG,Asia Pacific,Hong Kong,82,0.00
47.242.234.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,131,0.00
8.217.121.207,2083,2083,true,HKG,Asia Pacific,Hong Kong,134,0.00
